# Edges within set Cluster 6 (cluster_6)
# Motif: triangle
# Network: graph_300_650_80.0
# Number of nodes: 89
# Number of edges: 116

18530 22374
18530 59500
27114 13991
27114 50838
37867 6699
37867 26466
50838 13991
34796 17635
34796 30557
46255 38610
46255 39454
46255 47124
6699 17635
6699 26466
14253 30683
14253 33767
14253 51483
27161 26794
27161 35287
27161 50708
25830 42007
25830 42974
25830 43750
5611 33767
5611 42900
5611 47329
5611 51483
50517 50468
50517 51239
50517 59494
38424 13658
38424 14880
30557 17635
38610 18402
38610 47124
42713 27183
42713 34646
42713 35181
42713 47510
42713 51103
59489 30683
59489 42732
59489 47329
34646 27183
34646 35181
34646 47510
34646 51103
21470 6190
21470 23001
6190 23001
6636 13601
6636 18084
6636 18402
30511 22812
30511 30120
59494 50468
59494 51239
26984 39460
26984 54879
38608 22374
38608 59500
47124 39454
42007 31186
42007 43417
46045 18979
46045 47329
46306 43484
46306 51483
46306 54895
42974 43750
35168 22815
35168 39645
27175 13991
27175 30683
27175 42900
27175 47329
13601 18084
13601 18402
54879 39460
42286 38116
42286 42728
47583 14306
47583 39129
18979 13991
18979 42900
18979 47329
55066 39255
55066 50714
43484 54895
39255 38116
39255 50714
42728 38116
22815 39645
42900 47329
47259 22438
47259 47394
14306 39129
33767 51483
38116 35181
30683 42732
26794 50708
31186 43417
51679 27360
51679 38680
22438 43482
22438 47394
50708 35287
38492 14880
38492 21850
38680 27360
21850 14880
22812 30120
13658 14880
47329 51483
22374 59500
47394 43482
